campaign_id,campaign_name,channel_id,budget,spend,impressions,clicks,start_date,end_date
CMP-86,Campaign Adaptive responsive task-force,CHN-3,14243,12521.84,1187320,15785,2023-05-16,2023-05-31
CMP-87,Campaign Synergistic human-resource focus group,CHN-5,39288,31662.92,1858908,39526,2023-05-02,2023-07-21
CMP-88,Campaign Face-to-face stable hierarchy,CHN-4,34457,28405.28,2108745,88603,2022-05-23,2022-08-03
CMP-89,Campaign Business-focused homogeneous budgetary management,CHN-1,36726,33517.5,3164403,122012,2022-04-29,2022-07-24
CMP-90,Campaign Centralized incremental complexity,CHN-0,94610,89697.79,3741795,84566,2022-10-15,2023-01-06
CMP-91,Campaign Managed zero administration emulation,CHN-9,58769,48597.17,3014383,68271,2022-05-15,2022-07-31
CMP-92,Campaign Re-contextualized homogeneous toolset,CHN-5,48824,43946.11,2946541,76014,2023-04-05,2023-05-09
CMP-93,Campaign Open-source 6thgeneration forecast,CHN-0,12961,12548.43,1136036,19995,2023-10-14,2023-11-25
CMP-94,Campaign Expanded context-sensitive budgetary management,CHN-5,24455,19809.54,942462,30042,2022-05-26,2022-06-10
CMP-95,Campaign Phased user-facing neural-net,CHN-1,33136,31715.86,3105112,66146,2022-06-15,2022-09-08
CMP-96,Campaign Team-oriented executive protocol,CHN-2,32077,27267.16,1422144,32242,2023-04-03,2023-05-27
CMP-97,Campaign Future-proofed next generation capability,CHN-2,34285,28420.97,1247366,61191,2022-08-03,2022-10-26
CMP-98,Campaign Seamless foreground strategy,CHN-2,19805,16314.96,769383,7923,2022-11-24,2022-12-13
CMP-99,Campaign Grass-roots object-oriented matrices,CHN-9,53766,51541.28,1995529,39291,2023-08-01,2023-10-29
